Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Shenandoah,"Next To You, Next To Me",205733,37KWffCdnLyHqvhugCQNM6,36eTeLNx8ErucrEyRm6JOo,USCN19500056
Shenandoah,Two Dozen Roses,204333,0e05wFNr6zg1ULcp4NKs1p,36eTeLNx8ErucrEyRm6JOo,USCN19500054
Shenandoah,Church On Cumberland Road,188466,1Sqe82k1NRzxZsLOOBAHTH,36eTeLNx8ErucrEyRm6JOo,USCN19500052
Conway Twitty,Rocky Top,168493,15euJpYK8D9FguuIUwBY2Z,7gi3jmwpUpNWdswT8eEprF,USMC17022615
Vince Gill,One More Last Chance,191200,2h5a6t9JFasqH5WJFPbmGL,3IhWQSrLj8EJjdvjFTpCyo,USMC19238516
Johnny Cash,Ring of Fire,155706,5rDkA2TFOImbiVenmnE9r4,6kACVPfCOnqzgfEF5ryl0x,USSM19917137
Martina McBride,Wild Angels,225266,3jc0BIzhjQO96AUgl0WQW8,3P33qFNGBVXl86yQYWspFj,USRN19500284
Neal McCoy,Wink,162466,3VffiMehjhfqo7XZ5zGpCP,69Etpls5a2aATUkB6NInTY,USAN19400015
Neal McCoy,The Shake,213333,2KZXnN63ae6G6Cai2NhPkG,69Etpls5a2aATUkB6NInTY,USAT29700386
Rascal Flatts,Life is a Highway,276320,2Fs18NaCDuluPG1DHGw1XG,0a1gHP0HAqALbEyxaD5Ngn,USL2S0620350
Rascal Flatts,What Hurts The Most,214106,4bVuIlGQBMWS7vIhcx8Ae4,0a1gHP0HAqALbEyxaD5Ngn,USL2S0520197
Rascal Flatts,Bless The Broken Road,226680,4YjjNHtEsTX6Af4mCTupT5,0a1gHP0HAqALbEyxaD5Ngn,USL2S0420150
Faith Hill,Wild One,165013,0qrst0xZAZ0NtMtuUcEq0f,25NQNriVT2YbSW80ILRWJa,USWB19300044
Faith Hill,Breathe,250546,3y4LxiYMgDl4RethdzpmNe,25NQNriVT2YbSW80ILRWJa,USWB19902554
Tracy Byrd,The Keeper Of The Stars,247626,5WEK4szbQp9c7ZK6LkYd9k,0xxJO75NeIAF5jYruLYIDT,USMC19442318
Sawyer Brown,Six Days On The Road,173426,4OCFCX4RSZl8esUMtt3muO,50hFWG3MaUUX5phNrrVc97,USCRB0302047
Sawyer Brown,The Race Is On,176440,3kg4W7OIAVSNTLjXArK0Kn,50hFWG3MaUUX5phNrrVc97,USCRB0000581
Sawyer Brown,Thank God For You,198693,6ZrmBFB5pi8JADPB4E0DgM,50hFWG3MaUUX5phNrrVc97,USCRB0101080
Sawyer Brown,The Walk,224160,5q39B87pigCYl80puT66OK,50hFWG3MaUUX5phNrrVc97,USCRB9900348
Nitty Gritty Dirt Band,Cadillac Ranch,222120,5IhIK4GJFA7mNuT6aP6WNl,7y70dch6JuuuNnwlsOQvwW,USWB10101653
Alan Jackson,Chattahoochee,147706,2WzeWKX4Mymqvyxo2CBpPX,4mxWe1mtYIYfP040G38yvS,USAN21000118
