Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Eagles,Take It Easy - 2013 Remaster,211577,4yugZvBYaoREkJKtbG08Qr,0ECwFtbIWEVNwjlrfc6xoL,USEE11300314
The Kinks,Lola,241040,0UAJH0k4k3slcE83a9UGCe,1SQRv42e4PjEYfPhS0Tk9E,GBAJE0701939
The Guess Who,No Sugar Tonight,292266,3bZHJ7gaTVZamZ50njIMY3,0cQuYRSzlItquYxsQKDvVc,USRC16908567
Steve Winwood,Valerie,246666,3nQuDlaVZApyrG6tdsETe0,5gxynDEKwNDgxGJmJjZyte,GBAAN8200002
O.A.R.,I Go Through,240329,6ONb917y8Dah2OSXA95XJT,1Cq0LAHFfvUTBEtMPXUidI,USC4R1601370
Blue Rodeo,Head over Heels - Remastered 2012 version,242733,16ekLxouvHDMlRqPmoLOD0,4M1fxLs3K8DkyCaTEpdfo0,CAW111200058
Enter The Haggis,Gasoline,244906,17VKOxxvAM2K5s3wr1CSnd,1LJuYVYyKSm7Tw9xGuulhS,ushm91191063
Bob Porter,Up She Rises,224304,5bR0Z6bSRlv9kha5JqB1Vj,5cNGNChBRct67vXVMzPAv4,QZ4JJ1791265
Heart,These Dreams,254476,22wWxHGHRH8gZXNDXRgSqY,34jw2BbxjoYalTp8cJFCPv,USCA28500010
Flogging Molly,Drunken Lullabies,230640,3nhJpxZXEQTsZwrDUihXQf,5kQGFREO5FzMBMsAO3cEtj,USA6G0223001
Billy Joel,A Matter of Trust,248746,6J212smZzpeOCYQ9DITMSC,6zFYqv1mOsgBRQbae3JJ9e,USSM18600312
Rise Against,Savior,242280,3asFGFY3uLjMDmML1p0tYm,6Wr3hh341P84m3EI8qdn9O,USUM70832584
Little Texas,Life Goes On,158426,6ieK7pF0ZL1mugYGYdVgaH,5CCf77sKGlTdfIiIDaVScj,USWB19903067
Nine Days,Absolutely (Story of a Girl) - Sweet Sixteen Edition,190758,52v5O1yuKDZEWwQ1sv0YTL,306JHpIRGVaQd6OltnOzUO,USA2P1639743
Men Without Hats,I Know Their Names,238160,5ubaYeYM2qW0oVF4eT2jBE,34PLzyi7CdXUekiLHYyqXq,CAU111016933
Men Without Hats,Pop Goes The World - Re-Record,232624,5bO9BtgCnDc27XUM3T4m91,34PLzyi7CdXUekiLHYyqXq,USDBY1100527
July 7,Talk To Me,196834,35vHyGMcAZdJaPKBjUbTTe,51kPCmCJ7rXClxKDc2r4RA,GBLFP1713285
July Talk,Picturing Love,215000,7IfskrsLpZhR3IdFqcLPzB,3EaMbsBlExxNxLvTJcZvDq,CA8OU1600012
July Talk,Push + Pull,171466,2M3TZmN0KR5Etd4GTSsn1H,3EaMbsBlExxNxLvTJcZvDq,CA8OU1600009
July Talk,Beck + Call,186293,4tacfVWJXnC5FtsnIUbgjC,3EaMbsBlExxNxLvTJcZvDq,CA8OU1600013
Bob Seger,Hollywood Nights,302626,5VbePtZp1at8gH990zVyTI,485uL27bPomh29R4JmQehQ,USCA28600268
Erasure,Always - 2009 Remaster,241413,05aJGOuSDQTFyfzcGQrDUO,0z5DFXmhT4ZNzWElsM7V89,USRHD0900094
Erasure,A Little Respect,213373,2RVQIq7bLi4Eu6xHPyQ46t,0z5DFXmhT4ZNzWElsM7V89,GBAJH0000207
Carbon Leaf,Paloma,287253,2YbnXLrhwamZhKBVXAVTHP,4bofI6U62c9ZvTOrORFVwc,USVG20400086
Carbon Leaf,Lake of Silver Bells,335120,3Zp6BxgeaTenpDLVjJcgGq,4bofI6U62c9ZvTOrORFVwc,US8N51601137
Carbon Leaf,Indecision,244573,4AziAH4EKaDMaEl9DW9XY0,4bofI6U62c9ZvTOrORFVwc,US8N51601133
Carbon Leaf,Miss Hollywood,267453,0VVrfaDrrJddoi2DOtxonF,4bofI6U62c9ZvTOrORFVwc,US8N51601135
Carbon Leaf,One Prarie Outpost,199506,6oI0Gv8kpqpUW91trVZrUr,4bofI6U62c9ZvTOrORFVwc,USVG20400087
Carbon Leaf,The War Was In Color,374960,2XcGX2Hzk5qcunnZKeTfcC,4bofI6U62c9ZvTOrORFVwc,USVG20600124
Carbon Leaf,Let Your Troubles Roll By,326253,5LIEMpz4rlN8VYVVdoaGqp,4bofI6U62c9ZvTOrORFVwc,USVG20400088
The Cranberries,Dreams,271560,0md12GKBGH8ZuLG2fTfGUz,7t0rwkOPGlDPEhaOcVtOt9,USIR29300080
Carbon Leaf,The Boxer,206466,42Ymjhyoq1T4c4jtaE7FiM,4bofI6U62c9ZvTOrORFVwc,USA2B0150201
Carbon Leaf,Wandrin' Around,240360,3cQGcdAeNzRKD4ubuADoLw,4bofI6U62c9ZvTOrORFVwc,USA2B0150202
Carbon Leaf,On Any Given Day,304333,6WYecc1Po68zZmKM3ggtxG,4bofI6U62c9ZvTOrORFVwc,USA2B0150203
